"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"4606","72.107483414","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326402228 TSecr=1713307179"
"4619","72.363307480","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713337917 TSecr=1056743736"
"4620","72.363433212","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056753976 TSecr=1713307234"
"4638","72.619308584","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#7] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773139909 TSecr=2823053104"
"4639","72.619428246","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#7] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823063344 TSecr=773058198"
"4811","76.203111736","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#7] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043959448 TSecr=2328318209"
"4812","76.203135855","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#7] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081691426 TSecr=625211325"
"4813","76.203209341","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#7] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328328449 TSecr=3043867614"
"4814","76.203288443","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#7] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625221565 TSecr=3081599597"
"4895","77.995333787","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#7] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143654698 TSecr=2774371447"
"4896","77.995456727","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#7] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774381687 TSecr=4143562738"
"4986","79.791338129","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529169468 TSecr=4029067432"
"4987","79.791536613","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029077672 TSecr=2529097940"
"5028","80.555308878","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007517954 TSecr=2798353437"
"5029","80.555337316","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007517954 TSecr=4171403896"
"5030","80.555450737","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798363677 TSecr=1007477205"
"5031","80.555658962","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171414136 TSecr=1007477205"
"5032","80.562805334","10.38.2.160","10.43.2.5","TCP","66","61165","7680","61165  >  7680 [SYN] Seq=0 Win=64260 Len=0 MSS=1428 WS=256 SACK_PERM=1"
"5044","80.811189991","10.43.1.228","52.43.139.170","TCP","66","51944","443","[TCP Keep-Alive] 51944  >  443 [ACK] Seq=3282 Ack=3611 Win=64128 Len=0 TSval=863930739 TSecr=4164926697"
"5045","80.811274965","52.43.139.170","10.43.1.228","TCP","66","443","51944","[TCP Keep-Alive ACK] 443  >  51944 [ACK] Seq=3611 Ack=3283 Win=62208 Len=0 TSval=4164936927 TSecr=863890017"
"5066","81.067164678","10.43.1.228","52.43.139.170","TCP","66","51946","443","[TCP Keep-Alive] 51946  >  443 [ACK] Seq=10172 Ack=3611 Win=64128 Len=0 TSval=863930995 TSecr=3078047724"
"5067","81.067265505","52.43.139.170","10.43.1.228","TCP","66","443","51946","[TCP Keep-Alive ACK] 443  >  51946 [ACK] Seq=3611 Ack=10173 Win=55360 Len=0 TSval=3078057964 TSecr=863890022"
"5089","81.562955717","10.38.2.160","10.43.2.5","TCP","66","61165","7680","[TCP Retransmission] 61165  >  7680 [SYN] Seq=0 Win=64260 Len=0 MSS=1428 WS=256 SACK_PERM=1"
"5124","82.091340217","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#8] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007519490 TSecr=2483993921"
"5125","82.091443929","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#8] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2484004161 TSecr=1007427386"
"5142","82.347328115","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713347901 TSecr=3326402228"
"5143","82.347521795","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326412468 TSecr=1713307179"
"5167","82.603329863","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713348157 TSecr=1056753976"
"5168","82.603470699","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056764216 TSecr=1713307234"
"5190","82.859333003","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#8] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773150149 TSecr=2823063344"
"5191","82.859485561","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#8] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823073584 TSecr=773058198"
"5238","83.563697843","10.38.2.160","10.43.2.5","TCP","66","61165","7680","[TCP Retransmission] 61165  >  7680 [SYN] Seq=0 Win=64260 Len=0 MSS=1428 WS=256 SACK_PERM=1"
"5482","86.443132530","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#8] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043969688 TSecr=2328328449"
"5483","86.443152657","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#8] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081701666 TSecr=625221565"
"5485","86.443272083","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#8] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625231805 TSecr=3081599597"
"5486","86.443291107","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#8] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328338689 TSecr=3043867614"
"5571","87.564258967","10.38.2.160","10.43.2.5","TCP","66","61165","7680","[TCP Retransmission] 61165  >  7680 [SYN] Seq=0 Win=64260 Len=0 MSS=1428 WS=256 SACK_PERM=1"
"5646","88.235178244","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#8] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143664938 TSecr=2774381687"
"5647","88.235341003","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#8] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774391927 TSecr=4143562738"
"5799","90.027149962","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529179704 TSecr=4029077672"
"5800","90.027313133","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029087912 TSecr=2529097940"
"5852","90.795171502","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007528194 TSecr=2798363677"
"5853","90.795183999","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007528194 TSecr=4171414136"
"5854","90.795329197","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798373917 TSecr=1007477205"
"5855","90.795342522","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171424376 TSecr=1007477205"
"5873","91.055333610","10.43.1.228","52.43.139.170","TCP","66","51944","443","[TCP Keep-Alive] 51944  >  443 [ACK] Seq=3282 Ack=3611 Win=64128 Len=0 TSval=863940983 TSecr=4164936927"
"5874","91.055508721","52.43.139.170","10.43.1.228","TCP","66","443","51944","[TCP Keep-Alive ACK] 443  >  51944 [ACK] Seq=3611 Ack=3283 Win=62208 Len=0 TSval=4164947177 TSecr=863890017"
"5893","91.307110916","10.43.1.228","52.43.139.170","TCP","66","51946","443","[TCP Keep-Alive] 51946  >  443 [ACK] Seq=10172 Ack=3611 Win=64128 Len=0 TSval=863941235 TSecr=3078057964"
"5894","91.307245097","52.43.139.170","10.43.1.228","TCP","66","443","51946","[TCP Keep-Alive ACK] 443  >  51946 [ACK] Seq=3611 Ack=10173 Win=55360 Len=0 TSval=3078068204 TSecr=863890022"
"5954","92.331123190","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#9] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007529730 TSecr=2484004161"
"5955","92.331214449","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#9] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2484014401 TSecr=1007427386"
"5970","92.587222221","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713358141 TSecr=3326412468"
"5971","92.587357209","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326422708 TSecr=1713307179"
"5983","92.843196442","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713358397 TSecr=1056764216"
"5984","92.843329090","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056774456 TSecr=1713307234"
"5999","93.099155028","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#9] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773160389 TSecr=2823073584"
"6000","93.099419416","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#9] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823083824 TSecr=773058198"
"6173","95.565898872","10.38.2.160","10.43.2.5","TCP","66","61165","7680","[TCP Retransmission] 61165  >  7680 [SYN] Seq=0 Win=64260 Len=0 MSS=1428 WS=256 SACK_PERM=1"
"6266","96.683116977","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#9] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043979928 TSecr=2328338689"
"6267","96.683126471","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#9] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081711906 TSecr=625231805"
"6268","96.683212277","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#9] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328348929 TSecr=3043867614"
"6269","96.683345360","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#9] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625242045 TSecr=3081599597"
"6444","98.479146325","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#9] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143675182 TSecr=2774391927"
"6445","98.479250053","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#9] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774402167 TSecr=4143562738"
"6601","99.915032653","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Previous segment not captured] 55504  >  80 [FIN, ACK] Seq=2 Ack=1 Win=501 Len=0 TSval=3081715138 TSecr=625242045"
"6602","99.915259435","10.43.1.228","13.35.130.75","TLSv1.2","97","49586","443","[TCP Previous segment not captured] , Encrypted Alert"
"6603","99.915262794","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=3 Win=1018 Len=0 TSval=625245275 TSecr=3081715138"
"6604","99.915300078","10.43.1.228","13.35.130.75","TCP","66","49586","443","49586  >  443 [FIN, ACK] Seq=33 Ack=1 Win=501 Len=0 TSval=3043983160 TSecr=2328348929"
"6605","99.915357223","172.217.161.3","10.43.1.228","TCP","66","80","55504","80  >  55504 [FIN, ACK] Seq=1 Ack=3 Win=1018 Len=0 TSval=625245275 TSecr=3081715138"
"6606","99.915419071","10.43.1.228","172.217.161.3","TCP","66","55504","80","55504  >  80 [ACK] Seq=3 Ack=2 Win=501 Len=0 TSval=3081715138 TSecr=625245275"
"6607","99.915429116","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=33 Win=1001 Len=0 TSval=2328352159 TSecr=3043983160"
"6608","99.915658915","13.35.130.75","10.43.1.228","TCP","66","443","49586","443  >  49586 [ACK] Seq=1 Ack=34 Win=1001 Len=0 TSval=2328352159 TSecr=3043983160"
"6609","99.915720183","13.35.130.75","10.43.1.228","TCP","66","443","49586","443  >  49586 [FIN, ACK] Seq=1 Ack=34 Win=1001 Len=0 TSval=2328352159 TSecr=3043983160"
"6610","99.915761185","10.43.1.228","13.35.130.75","TCP","66","49586","443","49586  >  443 [ACK] Seq=34 Ack=2 Win=501 Len=0 TSval=3043983161 TSecr=2328352159"
"6622","100.188295733","52.43.139.170","10.43.1.228","TLSv1.2","97","443","51944","Encrypted Alert"
"6623","100.188399611","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=3283 Ack=3642 Win=64128 Len=0 TSval=863950116 TSecr=4164956307"
"6624","100.188830007","10.43.1.228","52.43.139.170","TLSv1.2","97","51944","443","Encrypted Alert"
"6625","100.188883033","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [FIN, ACK] Seq=3314 Ack=3642 Win=64128 Len=0 TSval=863950117 TSecr=4164956307"
"6626","100.188931927","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3642 Ack=3314 Win=62208 Len=0 TSval=4164956307 TSecr=863950117"
"6627","100.188996262","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3642 Ack=3315 Win=62208 Len=0 TSval=4164956307 TSecr=863950117"
"6628","100.189180970","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [FIN, ACK] Seq=3642 Ack=3315 Win=62208 Len=0 TSval=4164956307 TSecr=863950117"
"6629","100.189259729","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=3315 Ack=3643 Win=64128 Len=0 TSval=863950117 TSecr=4164956307"
"6630","100.190012486","52.43.139.170","10.43.1.228","TLSv1.2","97","443","51946","Encrypted Alert"
"6631","100.190087124","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=10173 Ack=3642 Win=64128 Len=0 TSval=863950118 TSecr=3078077084"
"6632","100.190439230","10.43.1.228","52.43.139.170","TLSv1.2","97","51946","443","Encrypted Alert"
"6633","100.190485818","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [FIN, ACK] Seq=10204 Ack=3642 Win=64128 Len=0 TSval=863950118 TSecr=3078077084"
"6634","100.190573775","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3642 Ack=10204 Win=55296 Len=0 TSval=3078077084 TSecr=863950118"
"6635","100.190789884","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3642 Ack=10205 Win=55296 Len=0 TSval=3078077084 TSecr=863950118"
"6636","100.190851857","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [FIN, ACK] Seq=3642 Ack=10205 Win=55296 Len=0 TSval=3078077084 TSecr=863950118"
"6637","100.190895112","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=10205 Ack=3643 Win=64128 Len=0 TSval=863950119 TSecr=3078077084"
"6641","100.267239971","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529189944 TSecr=4029087912"
"6642","100.267418727","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029098152 TSecr=2529097940"
"6686","101.035198337","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007538434 TSecr=2798373917"
"6687","101.035247416","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007538434 TSecr=4171424376"
"6688","101.035350352","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798384157 TSecr=1007477205"
"6689","101.035547884","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171434616 TSecr=1007477205"
"6780","101.916308195","10.43.1.228","13.224.21.88","TLSv1.2","97","33138","443","[TCP Previous segment not captured] , Encrypted Alert"
"6781","101.916370895","10.43.1.228","13.224.21.88","TCP","66","33138","443","33138  >  443 [FIN, ACK] Seq=33 Ack=1 Win=501 Len=0 TSval=4143678619 TSecr=2774402167"
"6782","101.916438806","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=33 Win=1008 Len=0 TSval=2774405607 TSecr=4143678619"
"6783","101.916496191","13.224.21.88","10.43.1.228","TCP","66","443","33138","443  >  33138 [ACK] Seq=1 Ack=34 Win=1008 Len=0 TSval=2774405607 TSecr=4143678619"
"6784","101.916531294","13.224.21.88","10.43.1.228","TCP","66","443","33138","443  >  33138 [FIN, ACK] Seq=1 Ack=34 Win=1008 Len=0 TSval=2774405607 TSecr=4143678619"
"6785","101.916578636","10.43.1.228","13.224.21.88","TCP","66","33138","443","33138  >  443 [ACK] Seq=34 Ack=2 Win=501 Len=0 TSval=4143678619 TSecr=2774405607"
"6837","102.571104020","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#10] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007539970 TSecr=2484014401"
"6838","102.571367390","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#10] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2484024641 TSecr=1007427386"
"6839","102.573575524","10.43.1.228","13.35.130.96","TLSv1.2","112","40184","443","Application Data"
"6840","102.573696520","13.35.130.96","10.43.1.228","TCP","66","443","40184","443  >  40184 [ACK] Seq=47 Ack=93 Win=999 Len=0 TSval=4173049357 TSecr=3052473047"
"6841","102.579835726","13.35.130.96","10.43.1.228","TLSv1.2","112","443","40184","Application Data"
"6842","102.579867403","10.43.1.228","13.35.130.96","TCP","66","40184","443","40184  >  443 [ACK] Seq=93 Ack=93 Win=501 Len=0 TSval=3052473054 TSecr=4173049357"
"6898","102.827208587","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713368381 TSecr=3326422708"
"6899","102.827310362","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326432948 TSecr=1713307179"
"6937","103.083114796","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713368637 TSecr=1056774456"
"6938","103.083227866","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056784696 TSecr=1713307234"
"6966","103.339146880","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#10] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773170629 TSecr=2823083824"
"6967","103.339258898","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#10] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823094064 TSecr=773058198"
"6984","103.573932547","10.43.1.228","34.98.75.36","TLSv1.2","112","33052","443","Application Data"
"6985","103.574001970","10.43.1.228","172.217.160.234","TLSv1.2","105","42688","443","Application Data"
"6986","103.574103338","172.217.160.234","10.43.1.228","TCP","66","443","42688","443  >  42688 [ACK] Seq=40 Ack=79 Win=1000 Len=0 TSval=199959673 TSecr=3466739647"
"6987","103.574129381","34.98.75.36","10.43.1.228","TCP","66","443","33052","443  >  33052 [ACK] Seq=47 Ack=93 Win=1005 Len=0 TSval=2843037023 TSecr=2494922112"
"6991","103.580195256","34.98.75.36","10.43.1.228","TLSv1.2","112","443","33052","Application Data"
"6992","103.580226118","10.43.1.228","34.98.75.36","TCP","66","33052","443","33052  >  443 [ACK] Seq=93 Ack=93 Win=501 Len=0 TSval=2494922118 TSecr=2843037023"
"6994","103.580251705","172.217.160.234","10.43.1.228","TLSv1.2","105","443","42688","Application Data"
"6995","103.580261779","10.43.1.228","172.217.160.234","TCP","66","42688","443","42688  >  443 [ACK] Seq=79 Ack=79 Win=15200 Len=0 TSval=3466739653 TSecr=199959673"
"7190","105.916921481","10.43.1.228","99.86.47.82","TLSv1.2","97","60150","443","[TCP Previous segment not captured] , Encrypted Alert"
"7191","105.916979925","10.43.1.228","99.86.47.82","TCP","66","60150","443","60150  >  443 [FIN, ACK] Seq=33 Ack=1 Win=1458 Len=0 TSval=773173207 TSecr=2823094064"
"7192","105.917029441","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=33 Win=933 Len=0 TSval=2823096644 TSecr=773173207"
"7193","105.917087445","99.86.47.82","10.43.1.228","TCP","66","443","60150","443  >  60150 [ACK] Seq=1 Ack=34 Win=933 Len=0 TSval=2823096644 TSecr=773173207"
"7194","105.917124696","99.86.47.82","10.43.1.228","TCP","66","443","60150","443  >  60150 [FIN, ACK] Seq=1 Ack=34 Win=933 Len=0 TSval=2823096644 TSecr=773173207"
"7195","105.917181446","10.43.1.228","99.86.47.82","TCP","66","60150","443","60150  >  443 [ACK] Seq=34 Ack=2 Win=1458 Len=0 TSval=773173207 TSecr=2823096644"
"7196","105.917281493","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Previous segment not captured] 48530  >  80 [FIN, ACK] Seq=2 Ack=1 Win=501 Len=0 TSval=1007543316 TSecr=2484024641"
"7197","105.917385788","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=3 Win=1018 Len=0 TSval=2484027991 TSecr=1007543316"
"7198","105.917424681","117.18.237.29","10.43.1.228","TCP","66","80","48530","80  >  48530 [FIN, ACK] Seq=1 Ack=3 Win=1018 Len=0 TSval=2484027991 TSecr=1007543316"
"7199","105.917450630","10.43.1.228","117.18.237.29","TCP","66","48530","80","48530  >  80 [ACK] Seq=3 Ack=2 Win=501 Len=0 TSval=1007543316 TSecr=2484027991"
"7514","110.507135430","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529200184 TSecr=4029098152"
"7515","110.507223571","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029108393 TSecr=2529097940"
"7553","111.275131799","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007548674 TSecr=2798384157"
"7554","111.275166321","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007548674 TSecr=4171434616"
"7555","111.275248758","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798394397 TSecr=1007477205"
"7556","111.275259867","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171444856 TSecr=1007477205"
"7639","113.071090476","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713378625 TSecr=3326432948"
"7640","113.071198382","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326443188 TSecr=1713307179"
